geneSet,description,size,overlap,expect,enrichmentRatio,pValue,FDR,overlapId,userId,cancer,logFDR
R-HSA-210991,Basigin interactions,25,6,1.09267503,5.491111111,0.000581873,0.014997303,483;5478;6520;682;8140;9123,SLC7A5;PPIA;SLC3A2;ATP1B3;BSG;SLC16A3,ThyroidCancer,1.823986821
R-HSA-157858,Gap junction trafficking and regulation,35,7,1.529745042,4.575925926,0.000666299,0.016900728,10376;1212;60;7277;7280;7846;84790,TUBA4A;TUBB2A;TUBA1A;ACTB;TUBA1C;TUBA1B;CLTB,ThyroidCancer,1.772094586
R-HSA-8878159,Transcriptional regulation by RUNX3,93,12,4.064751113,2.952210275,0.000681232,0.017009523,1026;5687;5688;5694;5698;5720;5721;6046;7040;7314;7316;864,UBC;TGFB1;BRD2;CDKN1A;UBB;RUNX3;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.769307853
R-HSA-389958,Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding,26,6,1.136382032,5.27991453,0.000728987,0.017743724,10376;60;7277;7280;7846;84790,TUBA4A;TUBB2A;TUBA1A;ACTB;TUBA1C;TUBA1B,ThyroidCancer,1.750955219
R-HSA-5687128,MAPK6/MAPK4 signaling,81,11,3.540267098,3.107110197,0.000732845,0.017743724,10602;3337;3725;5687;5688;5694;5698;5720;5721;7314;7316,JUN;UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;DNAJB1;PSMA6;PSMB6;CDC42EP3,ThyroidCancer,1.750955219
R-HSA-1234174,Regulation of Hypoxia-inducible Factor (HIF) by oxygen,69,10,3.015783084,3.315888352,0.000756395,0.017775288,10370;25994;5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6;CITED2;HIGD1A,ThyroidCancer,1.75018335
R-HSA-2262749,Cellular response to hypoxia,69,10,3.015783084,3.315888352,0.000756395,0.017775288,10370;25994;5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6;CITED2;HIGD1A,ThyroidCancer,1.75018335
R-HSA-109581,Apoptosis,164,17,7.167948199,2.371668925,0.000781909,0.017849868,10971;3002;3148;356;4000;5687;5688;5694;5698;5720;5721;578;7314;7316;7431;7534;8655,VIM;LMNA;GZMB;UBC;YWHAZ;FASLG;DYNLL1;UBB;PSME1;PSMA7;PSME2;YWHAQ;PSMB9;HMGB2;PSMA6;PSMB6;BAK1,ThyroidCancer,1.748364995
R-HSA-2467813,Separation of Sister Chromatids,164,17,7.167948199,2.371668925,0.000781909,0.017849868,10376;1063;5687;5688;5694;5698;5720;5721;7277;7280;7314;7316;7846;84790;8655;9184;9232,TUBA4A;TUBB2A;UBC;TUBA1A;DYNLL1;TUBA1C;TUBA1B;UBB;PSME1;PSMA7;PSME2;PSMB9;PTTG1;CENPF;PSMA6;PSMB6;BUB3,ThyroidCancer,1.748364995
R-HSA-5358351,Signaling by Hedgehog,122,14,5.332254148,2.625531269,0.000831682,0.018718697,10376;409;5687;5688;5694;5698;5720;5721;7277;7280;7314;7316;7846;84790,TUBA4A;TUBB2A;UBC;TUBA1A;TUBA1C;TUBA1B;UBB;PSME1;PSMA7;PSME2;PSMB9;ARRB2;PSMA6;PSMB6,ThyroidCancer,1.727724391
R-HSA-176409,APC/C:Cdc20 mediated degradation of mitotic proteins,70,10,3.059490085,3.268518519,0.000848995,0.018842967,5687;5688;5694;5698;5720;5721;7314;7316;9184;9232,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PTTG1;PSMA6;PSMB6;BUB3,ThyroidCancer,1.724850721
R-HSA-211733,Regulation of activated PAK-2p34 by proteasome mediated degradation,47,8,2.054229057,3.894405043,0.000863155,0.018894819,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.72365727
R-HSA-70263,Gluconeogenesis,27,6,1.180089033,5.08436214,0.000903288,0.019506149,226;2597;2821;5223;5230;7167,GAPDH;PGK1;TPI1;ALDOA;PGAM1;GPI,ThyroidCancer,1.70982847
R-HSA-2025928,Calcineurin activates NFAT,11,4,0.480777013,8.31986532,0.000925881,0.019666286,4773;5478;801;805,CALM1;CALM2;PPIA;NFATC2,ThyroidCancer,1.70627765
R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21,59,9,2.578713072,3.490112994,0.000947695,0.019666286,1026;5687;5688;5694;5698;5720;5721;7314;7316,UBC;CDKN1A;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.70627765
R-HSA-176814,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,71,10,3.103197086,3.222483046,0.000950713,0.019666286,5687;5688;5694;5698;5720;5721;7314;7316;9184;9232,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PTTG1;PSMA6;PSMB6;BUB3,ThyroidCancer,1.70627765
R-HSA-5357801,Programmed Cell Death,167,17,7.299069203,2.329064094,0.000959931,0.019666286,10971;3002;3148;356;4000;5687;5688;5694;5698;5720;5721;578;7314;7316;7431;7534;8655,VIM;LMNA;GZMB;UBC;YWHAZ;FASLG;DYNLL1;UBB;PSME1;PSMA7;PSME2;YWHAQ;PSMB9;HMGB2;PSMA6;PSMB6;BAK1,ThyroidCancer,1.70627765
R-HSA-349425,Autodegradation of the E3 ubiquitin ligase COP1,48,8,2.097936058,3.813271605,0.000997174,0.019918551,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.700742256
R-HSA-350562,Regulation of ornithine decarboxylase (ODC),48,8,2.097936058,3.813271605,0.000997174,0.019918551,4946;4953;5687;5688;5694;5698;5720;5721,ODC1;PSME1;PSMA7;PSME2;OAZ1;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.700742256
R-HSA-389960,Formation of tubulin folding intermediates by CCT/TriC,19,5,0.830433023,6.020955166,0.001083007,0.021074174,10376;7277;7280;7846;84790,TUBA4A;TUBB2A;TUBA1A;TUBA1C;TUBA1B,ThyroidCancer,1.676249443
R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,98,12,4.283286119,2.801587302,0.001092615,0.021074174,356;5687;5688;5694;5698;5720;5721;7133;7314;7316;8740;8744,UBC;FASLG;UBB;TNFSF9;PSME1;PSMA7;PSME2;PSMB9;TNFRSF1B;TNFSF14;PSMA6;PSMB6,ThyroidCancer,1.676249443
R-HSA-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,85,11,3.715095103,2.960893246,0.001103856,0.021074174,3312;5687;5688;5694;5698;5720;5721;7314;7316;7534;7538,ZFP36;UBC;YWHAZ;HSPA8;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.676249443
R-HSA-69229,Ubiquitin-dependent degradation of Cyclin D1,49,8,2.141643059,3.735449735,0.001147342,0.021074174,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.676249443
R-HSA-75815,Ubiquitin-dependent degradation of Cyclin D,49,8,2.141643059,3.735449735,0.001147342,0.021074174,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.676249443
R-HSA-169911,Regulation of Apoptosis,49,8,2.141643059,3.735449735,0.001147342,0.021074174,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.676249443
R-HSA-180534,Vpu mediated degradation of CD4,49,8,2.141643059,3.735449735,0.001147342,0.021074174,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.676249443
R-HSA-390466,Chaperonin-mediated protein folding,86,11,3.758802104,2.926464255,0.001217523,0.022109116,10376;10528;2773;2783;54331;60;7277;7280;7846;84790;8787,TUBA4A;TUBB2A;GNG2;TUBA1A;ACTB;TUBA1C;TUBA1B;GNB2;RGS9;NOP56;GNAI3,ThyroidCancer,1.655428624
R-HSA-68827,CDT1 association with the CDC6:ORC:origin complex,50,8,2.185350061,3.660740741,0.001315021,0.022841341,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.64127841
R-HSA-69601,Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,50,8,2.185350061,3.660740741,0.001315021,0.022841341,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.64127841
R-HSA-69610,p53-Independent DNA Damage Response,50,8,2.185350061,3.660740741,0.001315021,0.022841341,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.64127841
R-HSA-69613,p53-Independent G1/S DNA damage checkpoint,50,8,2.185350061,3.660740741,0.001315021,0.022841341,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.64127841
R-HSA-69563,p53-Dependent G1 DNA Damage Response,62,9,2.709834075,3.321236559,0.001363827,0.022941006,1026;5687;5688;5694;5698;5720;5721;7314;7316,UBC;CDKN1A;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.639387547
R-HSA-69580,p53-Dependent G1/S DNA damage checkpoint,62,9,2.709834075,3.321236559,0.001363827,0.022941006,1026;5687;5688;5694;5698;5720;5721;7314;7316,UBC;CDKN1A;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.639387547
R-HSA-174154,APC/C:Cdc20 mediated degradation of Securin,62,9,2.709834075,3.321236559,0.001363827,0.022941006,5687;5688;5694;5698;5720;5721;7314;7316;9232,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PTTG1;PSMA6;PSMB6,ThyroidCancer,1.639387547
R-HSA-5625900,RHO GTPases activate CIT,20,5,0.874140024,5.719907407,0.001392921,0.023186328,103910;10627;387;4627;4637,MYL12B;MYL6;MYL12A;RHOA;MYH9,ThyroidCancer,1.634768018
R-HSA-433692,Proton-coupled monocarboxylate transport,6,3,0.262242007,11.43981481,0.001499296,0.024436562,133418;682;9123,EMB;BSG;SLC16A3,ThyroidCancer,1.611959902
R-HSA-8854050,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,51,8,2.229057062,3.588961511,0.001501628,0.024436562,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.611959902
R-HSA-397014,Muscle contraction,174,17,7.605018211,2.235366113,0.001513905,0.024436562,103910;10627;301;302;309;3672;4637;476;483;489;493;7170;7171;7431;801;805;84876,VIM;ANXA1;ANXA2;MYL12B;MYL6;CALM1;CALM2;MYL12A;ITGA1;ANXA6;TPM4;ORAI1;ATP2B4;ATP1A1;TPM3;ATP1B3;ATP2A3,ThyroidCancer,1.611959902
R-HSA-6807878,COPI-mediated anterograde transport,89,11,3.889923108,2.827819392,0.001617656,0.025850148,10376;10959;375;378;7277;7280;7846;81876;832;84790;8655,TUBA4A;TUBB2A;TUBA1A;DYNLL1;TUBA1C;TUBA1B;CAPZB;ARF1;RAB1B;TMED2;ARF4,ThyroidCancer,1.587536974
R-HSA-174113,SCF-beta-TrCP mediated degradation of Emi1,52,8,2.272764063,3.51994302,0.001708639,0.026608029,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.574987294
R-HSA-4641257,Degradation of AXIN,52,8,2.272764063,3.51994302,0.001708639,0.026608029,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.574987294
R-HSA-69615,G1/S DNA Damage Checkpoints,64,9,2.797248078,3.217447917,0.001715036,0.026608029,1026;5687;5688;5694;5698;5720;5721;7314;7316,UBC;CDKN1A;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.574987294
R-HSA-416572,Sema4D induced cell migration and growth-cone collapse,21,5,0.917847025,5.447530864,0.001763597,0.026979821,103910;10627;387;4627;4637,MYL12B;MYL6;MYL12A;RHOA;MYH9,ThyroidCancer,1.568960928
R-HSA-2682334,EPH-Ephrin signaling,90,11,3.933630109,2.796399177,0.001772767,0.026979821,10094;10109;103910;10627;1072;1212;387;4627;4637;60;6386,CFL1;MYL12B;MYL6;MYL12A;ACTB;ARPC2;RHOA;SDCBP;ARPC3;MYH9;CLTB,ThyroidCancer,1.568960928
R-HSA-6811434,COPI-dependent Golgi-to-ER retrograde traffic,77,10,3.365439093,2.971380471,0.001791788,0.026998011,10376;10959;375;378;6836;7277;7280;7846;81876;84790,TUBA4A;TUBB2A;TUBA1A;TUBA1C;TUBA1B;ARF1;SURF4;RAB1B;TMED2;ARF4,ThyroidCancer,1.568668226
R-HSA-5663205,Infectious disease,357,28,15.60339943,1.794480755,0.001807752,0.026998011,1234;291;292;2959;375;3838;5441;5478;567;5687;5688;5694;5698;5720;5721;5901;60489;7040;7314;7316;7852;79720;801;805;811;902;926;9636,APOBEC3G;CXCR4;CD8B;CALM1;B2M;UBC;TGFB1;CALM2;VPS37B;UBB;CALR;KPNA2;PSME1;PSMA7;PSME2;PPIA;POLR2L;ISG15;PSMB9;ARF1;SLC25A4;CCNH;GTF2B;PSMA6;RAN;PSMB6;CCR5;SLC25A5,ThyroidCancer,1.568668226
R-HSA-5683057,MAPK family signaling cascades,273,23,11.93201133,1.927587844,0.001841599,0.027184395,10602;1843;1844;1846;1847;3337;3561;3568;3725;409;5687;5688;5694;5698;5720;5721;5908;60;7314;7316;801;805;8826,DUSP2;JUN;CALM1;UBC;CALM2;ACTB;IL2RG;UBB;DUSP4;PSME1;PSMA7;PSME2;RAP1B;PSMB9;ARRB2;IQGAP1;IL5RA;DNAJB1;PSMA6;DUSP5;PSMB6;CDC42EP3;DUSP1,ThyroidCancer,1.565680321
R-HSA-175474,Assembly Of The HIV Virion,13,4,0.568191016,7.03988604,0.001871266,0.027184395,5478;7314;7316;79720,UBC;VPS37B;UBB;PPIA,ThyroidCancer,1.565680321
R-HSA-418359,Reduction of cytosolic Ca++ levels,13,4,0.568191016,7.03988604,0.001871266,0.027184395,489;493;801;805,CALM1;CALM2;ATP2B4;ATP2A3,ThyroidCancer,1.565680321
R-HSA-4641258,Degradation of DVL,53,8,2.316471064,3.453529001,0.001937582,0.027400494,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.56224161
R-HSA-5362768,Hh mutants that don't undergo autocatalytic processing are degraded by ERAD,53,8,2.316471064,3.453529001,0.001937582,0.027400494,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.56224161
R-HSA-69541,Stabilization of p53,53,8,2.316471064,3.453529001,0.001937582,0.027400494,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.56224161
R-HSA-6811436,COPI-independent Golgi-to-ER retrograde traffic,42,7,1.835694051,3.813271605,0.002056219,0.0285725,10376;7277;7280;7846;832;84790;8655,TUBA4A;TUBB2A;TUBA1A;DYNLL1;TUBA1C;TUBA1B;CAPZB,ThyroidCancer,1.544051756
R-HSA-380108,Chemokine receptors bind chemokines,42,7,1.835694051,3.813271605,0.002056219,0.0285725,10663;1234;2833;6352;6375;6846;7852,CCL5;CXCR4;XCL2;CXCR3;XCL1;CXCR6;CCR5,ThyroidCancer,1.544051756
R-HSA-5628897,TP53 Regulates Metabolic Genes,66,9,2.88466208,3.119949495,0.002135249,0.029414898,10971;1337;1349;2539;2821;5052;54541;7295;7534,YWHAZ;TXN;DDIT4;YWHAQ;COX6A1;PRDX1;G6PD;GPI;COX7B,ThyroidCancer,1.531432658
R-HSA-983712,Ion channel transport,106,12,4.632942129,2.590146751,0.002166638,0.0295922,1831;2040;476;483;489;493;51393;527;7314;7316;801;805,CALM1;UBC;CALM2;ATP6V0C;TSC22D3;UBB;STOM;ATP2B4;ATP1A1;ATP1B3;ATP2A3;TRPV2,ThyroidCancer,1.52882274
R-HSA-190861,Gap junction assembly,22,5,0.961554027,5.199915825,0.002201732,0.029816673,10376;7277;7280;7846;84790,TUBA4A;TUBB2A;TUBA1A;TUBA1C;TUBA1B,ThyroidCancer,1.525540822
R-HSA-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,67,9,2.928369081,3.073383085,0.002374093,0.031615005,5687;5688;5694;5698;5720;5721;7314;7316;9232,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PTTG1;PSMA6;PSMB6,ThyroidCancer,1.500106748
R-HSA-174184,Cdc20:Phospho-APC/C mediated degradation of Cyclin A,67,9,2.928369081,3.073383085,0.002374093,0.031615005,5687;5688;5694;5698;5720;5721;7314;7316;9184,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6;BUB3,ThyroidCancer,1.500106748
R-HSA-5387390,Hh mutants abrogate ligand secretion,55,8,2.403885067,3.327946128,0.00246764,0.032589168,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.486926721
R-HSA-8941855,RUNX3 regulates CDKN1A transcription,7,3,0.305949008,9.805555556,0.002539071,0.032994241,1026;7040;864,TGFB1;CDKN1A;RUNX3,ThyroidCancer,1.48156186
R-HSA-8856688,Golgi-to-ER retrograde transport,108,12,4.720356131,2.54218107,0.002539607,0.032994241,10376;10959;375;378;6836;7277;7280;7846;81876;832;84790;8655,TUBA4A;TUBB2A;TUBA1A;DYNLL1;TUBA1C;TUBA1B;CAPZB;ARF1;SURF4;RAB1B;TMED2;ARF4,ThyroidCancer,1.48156186
R-HSA-174143,APC/C-mediated degradation of cell cycle proteins,81,10,3.540267098,2.824645633,0.00262999,0.033281637,5687;5688;5694;5698;5720;5721;7314;7316;9184;9232,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PTTG1;PSMA6;PSMB6;BUB3,ThyroidCancer,1.477795316
R-HSA-453276,Regulation of mitotic cell cycle,81,10,3.540267098,2.824645633,0.00262999,0.033281637,5687;5688;5694;5698;5720;5721;7314;7316;9184;9232,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PTTG1;PSMA6;PSMB6;BUB3,ThyroidCancer,1.477795316
R-HSA-179419,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,68,9,2.972076083,3.028186275,0.002633692,0.033281637,5687;5688;5694;5698;5720;5721;7314;7316;9184,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6;BUB3,ThyroidCancer,1.477795316
R-HSA-446203,Asparagine N-linked glycosylation,215,19,9.397005261,2.021920758,0.002645036,0.033281637,10376;1075;10959;23243;2923;375;378;4758;6184;7277;7280;7314;7316;7846;811;81876;832;84790;8655,TUBA4A;TUBB2A;UBC;TUBA1A;PDIA3;DYNLL1;ANKRD28;TUBA1C;TUBA1B;UBB;CALR;CAPZB;RPN1;ARF1;RAB1B;NEU1;CTSC;TMED2;ARF4,ThyroidCancer,1.477795316
R-HSA-936837,Ion transport by P-type ATPases,33,6,1.44233104,4.15993266,0.002709865,0.033830967,476;483;489;493;801;805,CALM1;CALM2;ATP2B4;ATP1A1;ATP1B3;ATP2A3,ThyroidCancer,1.470685582
R-HSA-5676590,NIK-->noncanonical NF-kB signaling,56,8,2.447592068,3.268518519,0.002772065,0.034339224,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.464209525
R-HSA-69202,Cyclin E associated events during G1/S transition,82,10,3.5839741,2.790198735,0.002882198,0.035364378,1026;5687;5688;5694;5698;5720;5721;7314;7316;902,UBC;CDKN1A;UBB;PSME1;PSMA7;PSME2;PSMB9;CCNH;PSMA6;PSMB6,ThyroidCancer,1.451433973
R-HSA-5673001,RAF/MAP kinase cascade,233,20,10.18373128,1.963916706,0.002899082,0.035364378,1843;1844;1846;1847;3561;3568;409;5687;5688;5694;5698;5720;5721;5908;60;7314;7316;801;805;8826,DUSP2;CALM1;UBC;CALM2;ACTB;IL2RG;UBB;DUSP4;PSME1;PSMA7;PSME2;RAP1B;PSMB9;ARRB2;IQGAP1;IL5RA;PSMA6;DUSP5;PSMB6;DUSP1,ThyroidCancer,1.451433973
R-HSA-5358346,Hedgehog ligand biogenesis,57,8,2.491299069,3.211176088,0.003105035,0.036217855,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.441077274
R-HSA-5607761,Dectin-1 mediated noncanonical NF-kB signaling,57,8,2.491299069,3.211176088,0.003105035,0.036217855,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.441077274
R-HSA-5610780,Degradation of GLI1 by the proteasome,57,8,2.491299069,3.211176088,0.003105035,0.036217855,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.441077274
R-HSA-5610783,Degradation of GLI2 by the proteasome,57,8,2.491299069,3.211176088,0.003105035,0.036217855,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.441077274
R-HSA-5610785,GLI3 is processed to GLI3R by the proteasome,57,8,2.491299069,3.211176088,0.003105035,0.036217855,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.441077274
R-HSA-5678895,Defective CFTR causes cystic fibrosis,57,8,2.491299069,3.211176088,0.003105035,0.036217855,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.441077274
R-HSA-5607764,CLEC7A (Dectin-1) signaling,97,11,4.239579118,2.594597174,0.00323152,0.037420069,4773;5687;5688;5694;5698;5720;5721;7314;7316;801;805,CALM1;UBC;CALM2;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6;NFATC2,ThyroidCancer,1.426895416
R-HSA-389957,Prefoldin mediated transfer of substrate  to CCT/TriC,24,5,1.048968029,4.766589506,0.003307598,0.037753872,60;7277;7280;7846;84790,TUBA4A;TUBB2A;TUBA1A;ACTB;TUBA1C,ThyroidCancer,1.423038502
R-HSA-400685,Sema4D in semaphorin signaling,24,5,1.048968029,4.766589506,0.003307598,0.037753872,103910;10627;387;4627;4637,MYL12B;MYL6;MYL12A;RHOA;MYH9,ThyroidCancer,1.423038502
R-HSA-69656,Cyclin A:Cdk2-associated events at S phase entry,84,10,3.671388102,2.723765432,0.003444485,0.039037492,1026;5687;5688;5694;5698;5720;5721;7314;7316;902,UBC;CDKN1A;UBB;PSME1;PSMA7;PSME2;PSMB9;CCNH;PSMA6;PSMB6,ThyroidCancer,1.408518093
R-HSA-382551,Transport of small molecules,429,31,18.75030352,1.65330657,0.003740841,0.042097634,133418;1831;2040;2495;2783;3163;3949;476;483;489;493;51393;527;54331;5687;5688;5694;5698;5720;5721;6510;6515;6520;682;7314;7316;801;805;8140;8766;9123,SLC7A5;CALM1;GNG2;UBC;CALM2;ATP6V0C;TSC22D3;UBB;SLC1A5;PSME1;PSMA7;STOM;PSME2;PSMB9;RAB11A;GNB2;ATP2B4;EMB;ATP1A1;FTH1;SLC3A2;ATP1B3;LDLR;HMOX2;BSG;PSMA6;PSMB6;SLC2A3;SLC16A3;ATP2A3;TRPV2,ThyroidCancer,1.375742315
R-HSA-68867,Assembly of the pre-replicative complex,59,8,2.578713072,3.102322662,0.003863706,0.043065475,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.365870761
R-HSA-5684996,MAPK1/MAPK3 signaling,239,20,10.44597329,1.914613358,0.003880744,0.043065475,1843;1844;1846;1847;3561;3568;409;5687;5688;5694;5698;5720;5721;5908;60;7314;7316;801;805;8826,DUSP2;CALM1;UBC;CALM2;ACTB;IL2RG;UBB;DUSP4;PSME1;PSMA7;PSME2;RAP1B;PSMB9;ARRB2;IQGAP1;IL5RA;PSMA6;DUSP5;PSMB6;DUSP1,ThyroidCancer,1.365870761
R-HSA-199977,ER to Golgi Anterograde Transport,129,13,5.638203157,2.30569911,0.004054431,0.044682629,10376;1075;10959;23243;375;378;7277;7280;7846;81876;832;84790;8655,TUBA4A;TUBB2A;TUBA1A;DYNLL1;ANKRD28;TUBA1C;TUBA1B;CAPZB;ARF1;RAB1B;CTSC;TMED2;ARF4,ThyroidCancer,1.349861284
R-HSA-2173791,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),16,4,0.699312019,5.719907407,0.004292952,0.046353297,387;7040;7314;7316,UBC;TGFB1;UBB;RHOA,ThyroidCancer,1.333919374
R-HSA-1234176,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,60,8,2.622420073,3.050617284,0.004293046,0.046353297,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.333919374
R-HSA-174084,Autodegradation of Cdh1 by Cdh1:APC/C,60,8,2.622420073,3.050617284,0.004293046,0.046353297,5687;5688;5694;5698;5720;5721;7314;7316,UBC;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6,ThyroidCancer,1.333919374
R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,130,13,5.681910158,2.287962963,0.004332473,0.04646505,3725;4773;5295;5687;5688;5694;5698;5720;5721;7314;7316;801;805,JUN;CALM1;UBC;CALM2;UBB;PSME1;PSMA7;PSME2;PSMB9;PSMA6;PSMB6;NFATC2;PIK3R1,ThyroidCancer,1.332873594
R-HSA-983169,Class I MHC mediated antigen processing & presentation,310,24,13.54917038,1.771326165,0.0044618,0.047533047,10952;1535;23480;27338;2923;3105;3106;3107;3309;51465;567;5687;5688;5694;5698;5720;5721;6890;6892;7314;7316;7319;811;8651,HLA-B;HLA-A;B2M;UBC;HLA-C;HSPA5;PDIA3;CYBA;UBE2A;UBB;CALR;PSME1;PSMA7;PSME2;PSMB9;TAP1;UBE2S;TAPBP;SEC61B;PSMA6;SEC61G;PSMB6;SOCS1;UBE2J1,ThyroidCancer,1.323004347
